Bacteria name,Type,Significance
Pseudomonas aeruginosa Variant 85,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 86,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 87,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 88,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 89,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 90,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 91,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 92,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 93,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 94,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 95,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 96,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 97,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 98,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 99,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 100,Gram-negative bacterium,Other
